4420#$#logging,systems administration,profiling,
4421#$#authentication/directory,boot,filesystems,
4422#$#analysis,sound synthesis,capture/recording,
4423#$#user interfaces,desktop environment,code generators,
4424#$#frameworks,software development,web conferencing,
4425#$#dvd,conversion,cd ripping,
4426#$#realtime processing,video capture,video,
4427#$#pop3,email clients (mua),filters,
4428#$#3d rendering,3d modeling,simulation,
4429#$#xml,interpreters,code generators,
4430#$#dynamic content,site management,http servers,
4431#$#user interfaces,frameworks,site management,
4432#$#monitoring,system shells,security,
4433#$#ticketing systems,building automation,business performance management,
4434#$#linux,boot,systems administration,
4435#$#information analysis,machine learning,visualization,
4436#$#user interfaces,frameworks,software development,
4437#$#visualization,3d rendering,3d modeling,
4438#$#software development,database,office/business,
4439#$#build tools,site management,html/xhtml,
4440#$#database,front-ends,software development,
4441#$#board games,real time strategy,video,
4442#$#l10n (localization),compilers,i18n (internationalization),
4443#$#front-ends,database,database engines/servers,
4444#$#installation/setup,project management,software distribution,
4445#$#workflow,integrated development environments (ide),interpreters,
4446#$#installation/setup,systems administration,software development,
4447#$#software development,education,build tools,
4448#$#desktop environment,communications,build tools,
4449#$#pop3,mail transport agents,email clients (mua),
4450#$#http servers,networking,file transfer protocol (ftp),
4451#$#mathematics,simulations,bio-informatics,
4452#$#installation/setup,software distribution,systems administration,
4453#$#dynamic content,frameworks,software development,
4454#$#simulations,mathematics,education,
4455#$#terminals,networking,systems administration,
4456#$#data warehousing,information analysis,bio-informatics,
4457#$#tex/latex,vi/vim,text processing,
4458#$#midi,analysis,sound synthesis,
4459#$#communications,realtime processing,artificial intelligence,
4460#$#desktop environment,cd ripping,boot,
4461#$#crm,fonts,library,
4462#$#simulation,genetic algorithms,simulations,
4463#$#data warehousing,data formats,database,
4464#$#database,database engines/servers,front-ends,
